OBJECTID,RouteID,FromARMeasure,ToARMeasure,NHS_TYPE,GlobalID,Shape_Length
1054,CC_PLHL_WILLOW PASS RD_S,1.6508078,1.7804516,M21PA,{2B9FE6E6-8354-4F16-8C0C-B150B21FECF3},267.027324661317
1055,CC_PLHL_WILLOW PASS RD_S,0,1.6498078,M21PA,{F0C5EF16-BD46-40D3-A3F0-EBA6654E5197},3370.07996141151
1056,CC_RCH_22ND ST_P,0.0857031,0.489282,M21PA,{B3A6A521-8EF6-4137-B238-EA5ED21AC76B},824.649697335291
1057,CC_RCH_23RD ST_FRONTAGE_1_P,0,0.0287753,M21PA,{575CCEA5-D916-4CAD-9401-DCB3B9F749D4},58.7917873798412
1058,CC_RCH_23RD ST_P,0,2.2349584,M21PA,{E47D3147-0B6D-4487-884B-F648FC4C1589},4567.30839648889
1059,CC_RCH_23RD ST_S,0,0.2404895,M21PA,{B4A2F287-07E0-45E1-92D3-48B1F87A01A3},491.339429453483
1060,CC_RCH_23RD ST_SPUR_1_P,0,0.113996,M21PA,{FCED96A1-8620-49C5-8C83-FC745E444DE4},232.917627174338
1061,CC_RCH_ATLAS RD_P,0,0.8873444,IC,{C47EB97B-2C5A-40F8-A43C-2F5EF7B63DB2},1813.25281073761
1062,CC_RCH_ATLAS RD_S,0,0.8770818,IC,{31C7E198-58B9-46BA-8D7D-16C09A6E695A},1792.26536767636
1063,CC_RCH_BARRETT AVE_P,0,2.553382,M21PA,{3D860E5D-AC4B-4FA6-9FF8-3E1A78300B50},5211.88055027348
1064,CC_RCH_BARRETT AVE_S,0,0.5911869,M21PA,{EDA4B82D-02CC-40DB-8CD3-BE37CD6A96B7},1206.70696677426
1065,CC_RCH_CANAL BLVD_P,1.8059522,2.946752,IC,{EFE3E0B7-4475-48C3-8C9F-FAEAB6EFAF77},2329.98148154447
1066,CC_RCH_CANAL BLVD_S,0,1.0425481,IC,{B209C62E-7E5F-438A-8687-8CADFB80BCD7},2129.36097263422
1067,CC_RCH_CARLSON BLVD_P,0.1097829,3.5055227,M21PA,{75053478-8D74-4D17-A9B7-E6D29D3FB905},6932.71305017396
1068,CC_RCH_CARLSON BLVD_S,0,1.6817206,M21PA,{99C37032-9AD6-4816-9B2C-7C7509D12A5D},3433.68932199995
1069,CC_RCH_CARLSON BLVD_S,1.6827206,2.9096595,M21PA,{26F181E0-E1BB-4E18-BDD9-5C02F2F55644},2506.55227870891
1070,CC_RCH_CASTRO ST_P,0.1223257,2.0315519,M21PA,{A072A4A7-A392-4EB7-A9BB-BE6D678E411E},3899.96945513363
1071,CC_RCH_CASTRO ST_S,0.0332121,1.8377108,M21PA,{E3F17849-418A-468F-AE2F-7CB6D7806A47},3686.13101966068
1072,CC_RCH_CENTRAL AVE_P,0.4819322,1.0230435,M21PA,{AAA084AD-595D-4E4D-ACC2-3C97BCE4808E},1104.02506265116
1073,CC_RCH_CENTRAL AVE_S,0.4817396,0.6307125,M21PA,{E754D1B8-3CC0-42B0-8368-EA8E4EB28B50},303.95036799146
1074,CC_RCH_CUTTING BLVD_P,0,2.6379444,M21PA,{A23C74F9-748C-4D4A-8169-0B2709F9B033},5383.49656428092
1075,CC_RCH_CUTTING BLVD_S,0,0.4483524,M21PA,{86C98C68-7D65-40CB-9AF7-C38AFA107D27},914.999377730238
1076,CC_RCH_CUTTING BLVD_S,0.4493524,1.0346339,M21PA,{8E716CEF-63D3-4E40-987B-BD57ED47921A},1196.48836833167
1077,CC_RCH_HARBOUR WAY S_P,0.0605485,0.1649765,M21PA,{A4D3601C-C64A-41C2-9524-B7EB2D4863D4},213.305516500919
1078,CC_RCH_HARBOUR WAY S_P,0.1649765,0.9633764,IC,{32816094-BD31-45F4-9335-C8FBA0FD6CC2},1630.97273390298
1079,CC_RCH_HOFFMAN BLVD_P,0,0.3117478,M21PA,{22EC456B-245E-43F4-846D-6315A8A1D1D7},636.500166741481
1080,CC_RCH_MARINA BAY PKWY_P,1.0998492,1.3396591,M21PA,{C03075E4-FF40-4620-B6C0-FCFF6040AD48},489.916438285212
1081,CC_RCH_MARINA BAY PKWY_S,1.0933408,1.2446342,M21PA,{5A689397-B2A7-43EB-8E6B-E7700E294231},309.077842505601
1082,CC_RCH_RICHMOND PKWY_P,0,6.9860899,M21PA,{A290985A-6304-4031-B49E-AD2C0966CD25},14273.2736916326
1083,CC_RCH_RICHMOND PKWY_S,0,5.7232522,M21PA,{6037600B-D103-4C1A-A2EE-50D43141D86F},11693.532062425
1084,CC_RCH_RICHMOND PKWY_S,5.7232522,6.8745023,IC,{4E48475A-863B-4708-B925-FE7B4D0CEF03},2351.88903842479
1085,CC_RCH_S 23RD ST_P,0,0.3841623,M21PA,{C58578F0-E0D6-491D-9B4B-801D38480326},784.878104849145
1086,CC_RCH_S GARRARD BLVD_P,0.1867568,0.4868414,M21PA,{45298543-72C1-429A-BC6F-532BAA277DDB},612.842137986375
1087,CC_RCH_W CUTTING BLVD_S,0,0.4045396,M21PA,{83E06D73-4FD0-4ED1-A391-B41550497EF5},825.583609944294
1088,CC_SPB_SAN PABLO DAM RD_P,0,9.5278757,M21PA,{E0FCB29E-27EB-4EA2-AE0F-8FC44613E272},19457.3359865737
1089,CC_SPB_SAN PABLO DAM RD_S,0,0.1908282,M21PA,{590F8257-638E-442F-ADEB-DD4AC58C1129},389.742825327416
1090,CC_WLC_GEARY RD_P,0,1.4108995,M21PA,{34F07BDB-7F54-480D-A2A0-CCD83702917F},2879.39246404538
1091,CC_WLC_OAK GROVE RD_P,2.1603214,4.0067199,M21PA,{54AE7B46-181C-44E2-8052-8996BF4D4034},3773.08781439493
1092,CC_WLC_OAK GROVE RD_S,0.5431289,0.9565102,M21PA,{512D8EAF-1FDA-4545-859E-44F5E7F3F0A6},846.7718531823
1093,CC_WLC_YGNACIO VALLEY RD_P,0,7.6520745,M21PA,{04E7CABC-DD1D-4842-B07F-35AF4C39C48D},15622.4459152585
1094,CC_WLC_YGNACIO VALLEY RD_S,0,7.5414848,M21PA,{184AB016-4986-40F9-9791-1FEE03FAECEF},15396.7449425557
